id,date,text,images
3236,2020-03-17T21:51:15,"תמונת מצב <i class=""emoji"" style=""background-image:url('//telegram.org/img/emoji/40/E2989D.png')""><b>☝️</b></i>",
3234,2020-03-17T21:50:39,,
3233,2020-03-17T21:05:28,"<a href=""https://youtu.be/wkLyG7r8Ff8"" target=""_blank"" rel=""noopener"">https://youtu.be/wkLyG7r8Ff8</a>",
3232,2020-03-17T21:05:22,"הנחיות באמהרית <i class=""emoji"" style=""background-image:url('//telegram.org/img/emoji/40/E2989D.png')""><b>☝️</b></i>",
3231,2020-03-17T21:03:44,,
3230,2020-03-17T18:52:32,"הודעה לציבור- חולה קורונה- חולה מספר 293>>>>>>

חולה בשנות ה- 30 לחייה, ממרכז הארץ.
חזרה מארה""ב דרך גרמניה ב 9.3.

1.3: מתל אביב לפרנקפורט, טיסה מספר LH695 של לופטנזה המריאה ב-8:00, נחיתה בפרנקפורט ב11:40 .
מפרנקפורט לשיקגו, טיסה מספר LH 9150 של לופטנזה המריאה ב-13:00. 

8.3: משיקגו לניוארק,טיסה מספר UA2329 של יונייטד איירליינס, המראה ב-18:15 נחיתה ב-21:29.
מניוארק לתל אביב, טיסה מספר UA90 של יונייטד איירליינס, המראה ב-23:00, נחיתה בתל אביב ב-15:20 (9.3).

בני משפחה ומכרים שהיו במגע הדוק עם החולה קיבלו הודעות אישיות.

כל מי שהיה בטיסות הנ""ל מתבקש להכנס לבידוד ביתי לפי הוראת משרד הבריאות ולדווח על כך באתר משרד הבריאות, במוקד *5400 או במוקדי קופות החולים:
כללית 2700*
מכבי 3555*
מאוחדת 3833*
לאומית 507*

מידע רשמי ומאומת נמצא *רק* באתר משרד הבריאות, בטלגרם ״קורונה עדכונים משרד הבריאות״, בעמוד הפייסבוק משרד הבריאות ובישומון (אפליקציה) Coronapp 

<b>*</b>
אייל בסון
דובר משרד הבריאות",
3229,2020-03-17T18:52:17,"הודעה לציבור- חולה קורונה- חולה מספר 292>>>>>>>

חולה בשנות ה-20 לחייה מאזור המרכז.
חזרה מרוסיה בתאריך 11.3 ומאז נמצאת בבידוד.
המגעים הקרובים של החולה כבר אותרו ומתודרכים באופן פרטני.

5.3: טיסה 501SU של חברת אירופלוט מתל אביב למוסקבה שעת המראה 07:10 שעת נחיתה 12:3.
טיסה 20SU של חברת אירופלוט ממוסקבה לסן פטרסבורג שעת המראה 14:45 שעת נחיתה 16:20.
11.3: טיסה 6627SU של חברת אירופלוט מסן פטרסבורג לתל אביב שעת המראה 09:30 שעת נחיתה 13:30.

כל מי שהיה בטיסות הנ""ל מתבקש להכנס לבידוד ביתי לפי הוראת משרד הבריאות ולדווח על כך באתר משרד הבריאות, במוקד *5400 או במוקדי קופות החולים:
כללית 2700*
מכבי 3555*
מאוחדת 3833*
לאומית 507*

מידע רשמי ומאומת נמצא *רק* באתר משרד הבריאות, בטלגרם ״קורונה עדכונים משרד הבריאות״, בעמוד הפייסבוק משרד הבריאות ובישומון (אפליקציה) Coronapp 

<b>*</b>
אייל בסון
דובר משרד הבריאות",
3228,2020-03-17T18:52:02,"הודעה לציבור- חולה קורונה- חולה מספר 291 >>>>>>

גבר בשנות הארבעים לחייו ממרכז הארץ שחזר מחו""ל ב- 10.3, ונכנס לבידוד.

2.3 : טיסה מספר LY613 של חברת אל על מנתב""ג למוסקבה. המראה מנתב""ג ב- 15:00, נחיתה במוסקבה בשעה 20:05.
10.3 : טיסה מספר SU 504 של חברת Aeroflot ממוסקבה לנתב""ג. המראה ממוסקבה בשעה 19:40, נחיתה בנתב""ג בשעה 23.00

אנשים אחרים שהיו איתו במגע קיבלו הודעה באופן אישי. 

כל מי שהיה בטיסות הנ""ל מתבקש להכנס לבידוד ביתי לפי הוראת משרד הבריאות ולדווח על כך באתר משרד הבריאות, במוקד *5400 או במוקדי קופות החולים:
כללית 2700*
מכבי 3555*
מאוחדת 3833*
לאומית 507*

מידע רשמי ומאומת נמצא *רק* באתר משרד הבריאות, בטלגרם ״קורונה עדכונים משרד הבריאות״, בעמוד הפייסבוק משרד הבריאות ובישומון (אפליקציה) Coronapp 

<b>*</b>
אייל בסון
דובר משרד הבריאות",
3227,2020-03-17T18:51:45,"הודעה לציבור- חולה קורונה- חולה מספר 290>>>>>>>

חולה בשנות העשרה לחייה, ממרכז הארץ
מגע של חולה מאומת מס' 176.

11.3: 17:18-17:56 נסיעה ברכבת ישראל ממודיעין מרכז לתחנת ת""א ההגנה.
18:00-18:15 נסיעה ברכבת ישראל מתחנת רכבת ההגנה לתחנת לוד.
18:17-18:24 נסיעה ברכבת ישראל מתחנת לוד לתחנת ראשונים בראשון לציון.

12.3: 08:30-12:20 בי""ס עמית עמל מקיף ג' אירוע ""יום המדע"" רחוב המתנדבים 6 ראשון לציון.
12.3: 17:30-20:30 מרכז לנוער ""באלנס"" בי""ס רביבים רחוב גוש עציון 23 ראשון לציון.

בני משפחה, מכרים ומערכת החינוך קיבלו הודעות אישיות.

כל מי שהיה במקומות ובקווי התחבורה הנ""ל מתבקש להכנס לבידוד ביתי לפי הוראת משרד הבריאות ולדווח על כך באתר משרד הבריאות, במוקד *5400 או במוקדי קופות החולים:
כללית 2700*
מכבי 3555*
מאוחדת 3833*
לאומית 507*

מידע רשמי ומאומת נמצא *רק* באתר משרד הבריאות, בטלגרם ״קורונה עדכונים משרד הבריאות״, בעמוד הפייסבוק משרד הבריאות ובישומון (אפליקציה) Coronapp 

<b>*</b>
אייל בסון
דובר משרד הבריאות",
3226,2020-03-17T18:51:30,"הודעה לציבור - חולה קורונה
חולה מספר 289
&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;

אישה בשנות החמישים לחייה ממרכז הארץ שחזרה ב 9.3 מלונדון.

9.3: טיסה מלונדון לתל אביב עם חברת אל על LY316 המראה 14:38, נחיתה 20:45.

כל מי שהיה בטיסה הנ""ל מתבקש להכנס לבידוד ביתי לפי הוראת משרד הבריאות ולדווח על כך באתר משרד הבריאות, במוקד *5400 או במוקדי קופות החולים:
כללית 2700*
מכבי 3555*
מאוחדת 3833*
לאומית 507*

מידע רשמי ומאומת נמצא *רק* באתר משרד הבריאות, בטלגרם ״קורונה עדכונים משרד הבריאות״, בעמוד הפייסבוק משרד הבריאות ובישומון (אפליקציה) Coronapp 

<b>*</b>
אייל בסון
דובר משרד הבריאות",
